Line#,Rain,Temperature,RH,DewPoint,WindSpeed,GustSpeed,WindDirection,#,FRUTO,INCIDENCIA,SEVERIDAD(%)
634,0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,1,1,0,0
635,0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,2,2,0,0
636,0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,3,3,0,0
637,0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,4,4,0,0
638,0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,5,5,0,0
639,0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,6,6,0,0
640,0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,7,7,0,0
641,0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,8,8,0,0
642,0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,9,9,0,0
643,0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,10,10,0,0
644,0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,11,1,0,0
645,0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,12,2,1,45
646,0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,13,3,0,0
647,0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,14,4,0,0
648,0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,15,5,1,40
649,0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,16,6,1,75
650,0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,17,7,0,0
651,0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,18,8,0,0
652,0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,19,9,0,0
653,0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,20,10,0,0
654,0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,21,1,0,0
655,0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,22,2,0,0
656,0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,23,3,0,0
657,0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,24,4,0,0
658,0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,25,5,0,0
659,0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,26,6,0,0
660,0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,27,7,0,0
661,0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,28,8,0,0
662,0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,29,9,1,70
663,0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,30,10,0,0
664,0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,31,1,0,0
665,0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,32,2,0,0
666,0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,33,3,0,0
667,0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,34,4,0,0
668,0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,35,5,1,70
669,0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,36,6,0,0
670,0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,37,7,0,0
671,0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,38,8,0,0
672,0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,39,9,0,0
673,0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,40,10,0,0
674,0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,41,1,0,0
675,0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,42,2,0,0
676,0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,43,3,1,40
677,0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,44,4,0,0
678,0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,45,5,0,0
679,0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,46,6,0,0
680,0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,47,7,1,60
681,0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,48,8,0,0
682,0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,49,9,1,70
683,0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,50,10,0,0
684,0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,51,1,0,0
685,0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,52,2,0,0
686,0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,53,3,0,0
687,0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,54,4,0,0
688,0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,55,5,0,0
689,0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,56,6,0,0
690,0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,57,7,0,0
691,0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,58,8,0,0
692,0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,59,9,1,40
693,0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,60,10,1,30
694,0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,61,1,0,0
695,0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,62,2,0,0
696,0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,63,3,0,0
697,0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,64,4,0,0
698,0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,65,5,0,0
699,0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,66,6,0,0
700,0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,67,7,0,0
701,0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,68,8,0,0
702,0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,69,9,0,0
703,0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,70,10,0,0
704,0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,71,1,0,0
705,0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,72,2,0,0
706,0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,73,3,1,50
707,0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,74,4,0,0
708,0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,75,5,0,0
709,0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,76,6,0,0
710,0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,77,7,0,0
711,0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,78,8,0,0
712,0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,79,9,0,0
713,0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,80,10,0,0
714,0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,81,1,0,0
715,0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,82,2,0,0
716,0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,83,3,0,0
717,0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,84,4,0,0
718,0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,85,5,0,0
719,0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,86,6,0,0
720,0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,87,7,0,0
721,0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,88,8,0,0
722,0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,89,9,1,40
723,0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,90,10,0,0
724,0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,91,1,0,0
725,0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,92,2,0,0
726,0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,93,3,0,0
727,0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,94,4,0,0
728,0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,95,5,0,0
729,0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,96,6,0,0
730,0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,97,7,0,0
731,0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,98,8,1,65
732,0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,99,9,0,0
733,0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,100,10,0,0
